Team,Pays,_,Nom_URL,Nom,Poste,Age,Date de naissance,Taille,Poids,JIFF,Contrat,Durée,Autres,TABLE
l'Aviron Bayonnais,France,,https://www.allrugby.com/joueurs/andy-bordelai-8888.html,Andy BORDELAI,Pilier,24,29/03/2000,,117,JIFF,PRO,2026,,TABLE PROS
l'Aviron Bayonnais,Fidji,,https://www.allrugby.com/joueurs/luke-tagi-8934.html,Luke TAGI,Pilier,27,23/06/1997,,130,NON JIFF,PRO,2028,,TABLE PROS
l'Aviron Bayonnais,France,,https://www.allrugby.com/joueurs/pascal-cotet-1906.html,Pascal COTET,Pilier,31,12/10/1993,,128,JIFF,PRO,2026,,TABLE PROS
l'Aviron Bayonnais,France,,https://www.allrugby.com/joueurs/pierre-castillon-17309.html,Pierre CASTILLON,Pilier,21,20/09/2003,,104,JIFF,ESPOIR,2028,,TABLE PROS
l'Aviron Bayonnais,Afrique du sud,,https://www.allrugby.com/joueurs/pieter-scholtz-6324.html,Pieter SCHOLTZ,Pilier,30,20/03/1994,,138,NON JIFF,PRO,2025,,TABLE PROS
l'Aviron Bayonnais,France,,https://www.allrugby.com/joueurs/swan-cormenier-5203.html,Swan CORMENIER,Pilier,29,18/01/1996,,120,JIFF,PRO,2027,,TABLE PROS
l'Aviron Bayonnais,Tonga,,https://www.allrugby.com/joueurs/tevita-tatafu-11206.html,Tevita TATAFU,Pilier,22,13/10/2002,,140,JIFF Formé(8),PRO,2030,,TABLE PROS
l'Aviron Bayonnais,Argentine,,https://www.allrugby.com/joueurs/facundo-bosch-5142.html,Facundo BOSCH,Talonneur,33,08/08/1991,,102,NON JIFF,PRO,2026,,TABLE PROS
l'Aviron Bayonnais,France,,https://www.allrugby.com/joueurs/lucas-martin-11207.html,Lucas MARTIN,Talonneur,22,09/12/2002,,105,JIFF,ESPOIR,2027,,TABLE PROS
l'Aviron Bayonnais,Namibie,,https://www.allrugby.com/joueurs/torsten-van-jaarsveld-3921.html,Torsten VAN JAARSVELD,Talonneur,37,30/06/1987,,106,NON JIFF,PRO,,JOKER (8),TABLE PROS
l'Aviron Bayonnais,France,,https://www.allrugby.com/joueurs/vincent-giudicelli-4847.html,Vincent GIUDICELLI,Talonneur,27,25/06/1997,,104,JIFF,PRO,2026,,TABLE PROS
l'Aviron Bayonnais,Angleterre,,https://www.allrugby.com/joueurs/alex-moon-6201.html,Alex MOON,2ème ligne,28,06/09/1996,,127,NON JIFF,PRO,2026,,TABLE PROS
l'Aviron Bayonnais,France,,https://www.allrugby.com/joueurs/denis-marchois-3589.html,Denis MARCHOIS,2ème ligne,31,05/02/1994,,115,JIFF,PRO,2025,,TABLE PROS
l'Aviron Bayonnais,France,,https://www.allrugby.com/joueurs/esteban-capilla-12571.html,Esteban CAPILLA,2ème ligne,22,05/01/2003,,100,JIFF Formé(8),PRO,2027,,TABLE PROS
l'Aviron Bayonnais,Argentine,,https://www.allrugby.com/joueurs/lucas-paulos-7501.html,Lucas PAULOS,2ème ligne,27,09/01/1998,,123,JIFF,PRO,2027,,TABLE PROS
